,Rank, ,Code,Company,Price,Change,% Chg,Mkt Cap,1 Year
537,538,up,MVA,Vaneck Property ETF Units FP,$23.67,+0.18,+0.77%,$201.70 M,+17.00%
538,539,down,DCG,Decmil Group Limited,$0.835,-0.015,-1.77%,$198.99 M,-29.83%
539,540,no change,BRL,Bathurst Res Limited,$0.125,0.00,0.00%,$198.58 M,-13.79%
540,541,down,DNK,Danakali Limited,$0.75,-0.02,-2.60%,$198.32 M,+14.50%
541,542,down,AYS,Amaysim Aus Limited,$0.665,-0.005,-0.75%,$196.25 M,-29.96%
542,543,no change,EGF,Evans & Partners Ordinary Units FP,$1.61,0.00,0.00%,$194.59 M,-21.85%
543,544,down,PAN,Panoramic Resources,$0.355,-0.01,-2.74%,$194.09 M,-37.17%
544,545,up,SFC,Schaffer Corp. Limited,$14.03,+0.43,+3.16%,$193.88 M,+8.76%
545,546,up,PNR,Pantoro Limited,$0.225,+0.01,+4.65%,$193.67 M,-29.69%
546,547,no change,CL1,Class Limited,$1.63,0.00,0.00%,$191.79 M,-27.56%
547,548,up,IJR,Ishares Small-Cap ETF Units FP,$113.50,+0.34,+0.30%,$191.13 M,+4.86%
548,549,up,GCI,Gryphon Capital Ordinary Units FP,$2.03,+0.02,+1.00%,$189.93 M,+1.00%
549,550,up,XIP,Xenith IP Group Limited,$2.14,+0.02,+0.94%,$189.86 M,+78.33%
550,551,down,WXOZ,SPDR World Ex OZ ETF Units FP,$31.58,-0.21,-0.66%,$189.48 M,+5.83%
551,552,down,LYL,Lycopodium Limited,$4.74,-0.02,-0.42%,$188.33 M,+2.60%
552,553,down,ENN,Elanor Investors Group FP Ordinary/Units Stapled Securities,$1.877,-0.038,-1.98%,$186.72 M,-5.68%
553,554,no change,KSL,Kina Securities Limited,$1.13,0.00,0.00%,$185.31 M,+34.52%
554,555,no change,CII,Ci Resources Limited,$1.59,0.00,0.00%,$183.77 M,-11.42%
555,556,no change,EZL,EUROZ Limited,$1.14,0.00,0.00%,$183.53 M,-3.39%
556,557,up,QIP,QANTM Intellectual,$1.375,+0.035,+2.61%,$182.95 M,+18.53%
557,558,up,FWD,Fleetwood Corp,$1.93,+0.035,+1.85%,$182.51 M,-2.92%
558,559,no change,CRED,Betaauscorpbondetf ETF Units FP,$26.52,0.00,0.00%,$182.49 M,+6.08%
559,560,no change,TRA,Turners Automotive Foreign Exempt NZX,$2.10,0.00,0.00%,$182.47 M,-30.00%
560,561,down,UBA,Ubs IQ MSCI Aust ETF ETF Units FP,$21.28,-0.15,-0.70%,$182.07 M,+3.55%
561,562,up,CLH,Collection House,$1.305,+0.035,+2.76%,$181.76 M,-15.26%
562,563,up,IMA,Image Resources NL,$0.185,+0.005,+2.78%,$179.58 M,+76.19%
563,564,down,CAJ,Capitol Health,$0.23,-0.01,-4.17%,$178.38 M,-22.03%
564,565,up,D2O,Duxton Water Limited,$1.50,+0.025,+1.70%,$178.22 M,+36.20%
565,566,down,VTH,Vitalharvest Ordinary Units FP,$0.96,-0.01,-1.03%,$177.60 M,-0.52%
566,567,up,OPT,Opthea Limited,$0.705,+0.005,+0.71%,$175.84 M,+42.42%
567,568,up,IXI,Ishs Global Cons ETF ETF Units FP,$74.13,+0.13,+0.18%,$175.80 M,+14.05%
568,569,down,PCG,Pengana Capital,$1.70,-0.17,-9.09%,$175.57 M,-52.11%
569,570,no change,TGN,Tungsten Min NL,$0.24,0.00,0.00%,$174.93 M,-66.67%
570,571,down,FLOT,Vaneck Au Float Rate ETF Units FP,$25.12,-0.03,-0.12%,$173.86 M,+0.24%
571,572,up,SFG,Seafarms Group Limited,$0.092,+0.002,+2.22%,$173.83 M,+78.38%
572,573,no change,FND,Finders Resources,$0.22,0.00,0.00%,$173.53 M,0.00%
573,574,down,GBT,GBST Holdings,$2.55,-0.05,-1.92%,$173.18 M,+10.39%
574,575,down,PPS,Praemium Limited,$0.425,-0.005,-1.16%,$172.25 M,-41.38%
575,576,up,TZN,Terramin Australia,$0.092,+0.012,+15.00%,$172.00 M,-26.40%
576,577,up,LCK,Leigh CRK Energy Limited,$0.31,+0.03,+10.71%,$169.92 M,+51.22%
577,578,down,SPT,Splitit,$0.98,-0.02,-2.00%,$169.60 M,+157.90%
578,579,no change,MLX,Metals X Limited,$0.245,0.00,0.00%,$168.82 M,-72.32%
579,580,down,UNV,Universal Coal Plc Chess Depositary Interests 1:1,$0.32,-0.005,-1.54%,$167.19 M,+30.61%
580,581,down,EXP,Experience Co Limited,$0.30,-0.01,-3.23%,$166.74 M,-50.82%
581,582,no change,EAF,Evanspartnersasiafnd Ordinary Units FP,$1.25,0.00,0.00%,$165.39 M,+13.64%
582,583,up,WMI,Wam Microcap Limited,$1.17,+0.005,+0.43%,$164.81 M,-16.73%
583,584,up,HZN,Horizon Oil Limited,$0.125,+0.005,+4.17%,$162.75 M,-16.67%
584,585,down,IHVV,Ishares S&P 500 Aud ETF Units FP,$356.02,-3.74,-1.04%,$162.26 M,+3.22%
585,586,down,PAXX,Platinum Asia Fund Trading Managed Units FP,$4.40,-0.02,-0.45%,$161.88 M,-24.79%
586,587,down,PNC,Pioneer Credit Limited,$2.55,-0.13,-4.85%,$161.45 M,-24.56%
587,588,up,PPE,Peopleinfrastructure,$2.48,+0.1,+4.20%,$161.19 M,+67.57%
588,589,up,SNL,Supply Network,$3.95,+0.04,+1.02%,$161.01 M,+13.83%
589,590,up,ERF,Elanoretl Property FP Units Stapled Securities,$1.245,+0.015,+1.22%,$160.27 M,-4.23%
590,591,no change,TTT,Titomic Limited,$2.47,0.00,0.00%,$159.78 M,+14.88%
591,592,down,NTC,Netcomm Wireless,$1.085,-0.002,-0.18%,$158.77 M,-19.93%
592,593,down,IJH,Ishares Mid-Cap ETF ETF Units FP,$275.00,-1.05,-0.38%,$158.48 M,+6.51%
593,594,down,HVST,Beta Divharvester ETF Units FP,$15.40,-0.02,-0.13%,$158.28 M,-3.15%
594,595,down,DUB,Dubber Corp Limited,$0.845,-0.055,-6.11%,$157.65 M,+144.93%
595,596,up,SRG,SRG Global Limited,$0.355,+0.01,+2.90%,$156.35 M,-53.29%
596,597,down,VAE,VGD Ftse Asia Ex JPN ETF Units FP,$65.55,-0.13,-0.20%,$156.34 M,-4.25%
597,598,up,ONT,1300 Smiles Limited,$6.59,+0.04,+0.61%,$156.04 M,+1.39%
598,599,down,VDHG,VNGD DIV High Growth ETF Units FP,$53.67,-0.1,-0.19%,$154.75 M,+3.21%
599,600,down,TPW,Temple & Webster Limited,$1.37,-0.07,-4.86%,$154.20 M,+71.25%
600,601,up,SYI,Spdrmsciauselecthdy ETF Units FP,$28.99,+0.07,+0.24%,$153.89 M,+0.24%
601,602,down,WHA,Wattle Health Au Limited,$0.785,-0.005,-0.63%,$152.69 M,-64.04%
602,603,down,ATU,Atrum Coal Limited,$0.32,-0.025,-7.25%,$152.12 M,+251.65%
603,604,no change,REX,Regional Express,$1.375,0.00,0.00%,$151.46 M,-7.72%
604,605,down,AML,Aeon Metals Limited,$0.225,-0.015,-6.25%,$151.44 M,-38.36%
605,606,up,GVF,Global Value FND Limited,$1.02,+0.01,+0.99%,$150.65 M,-5.56%
606,607,down,HACK,Beta Global Cyber ETF Units FP,$7.55,-0.03,-0.40%,$149.81 M,+6.94%
607,608,up,CDV,Cardinal Reso Limited,$0.39,+0.015,+4.00%,$149.23 M,-17.02%
608,609,up,3PL,3P Learning Limited,$1.07,+0.02,+1.91%,$149.09 M,-26.96%
609,610,up,LVH,Livehire Limited,$0.50,+0.035,+7.53%,$148.36 M,-27.54%
610,611,down,ELO,Elmo Software,$6.38,-0.03,-0.47%,$147.83 M,+14.75%
611,612,up,NTU,Northern Min Limited,$0.077,+0.001,+1.32%,$146.50 M,-30.00%
612,613,down,BAF,Blue Sky Alt Access,$0.725,-0.025,-3.33%,$146.47 M,-8.81%
613,614,down,FID,Fiducian Group Limited,$4.67,-0.13,-2.71%,$146.37 M,+7.36%
614,615,down,TGF,Tribeca Global,$2.30,-0.08,-3.36%,$144.90 M,-8.73%
615,616,down,FDV,Frontier Digital Limited,$0.59,-0.01,-1.67%,$144.60 M,-16.89%
616,617,down,RCT,Reef Casino Trust Units FP,$2.94,-0.01,-0.34%,$144.24 M,-10.09%
617,618,up,FOR,Forager Aust SHS FND Ordinary Units FP,$1.265,+0.005,+0.40%,$144.01 M,-35.15%
618,619,up,CYL,Catalyst Metals,$1.825,+0.025,+1.39%,$143.98 M,+47.18%
619,620,no change,AMS,Atomos,$0.94,0.00,0.00%,$142.84 M,+88.00%
620,621,down,HRR,Heron Resources,$0.59,-0.04,-6.35%,$142.58 M,-5.60%
621,622,up,KLL,Kalium Lakes Limited,$0.595,+0.025,+4.39%,$142.19 M,+48.75%
622,623,down,RND,Rand Mining Limited,$2.36,-0.04,-1.67%,$141.95 M,-14.18%
623,624,down,PGC,Paragon Care Limited,$0.42,-0.01,-2.33%,$141.91 M,-42.47%
624,625,down,MNS,Magnis Energy Tech,$0.23,-0.01,-4.17%,$140.56 M,-41.03%
625,626,up,ILB,Ishares GOV Infl ETF Units FP,$123.77,+0.19,+0.15%,$140.25 M,+6.74%
626,627,no change,SRS,Spicers Limited,$0.068,0.00,0.00%,$139.87 M,+112.50%
627,628,down,GNG,GR Engineering Limited,$0.91,-0.02,-2.15%,$139.80 M,-35.78%
628,629,up,APD,Apn Property Group,$0.445,+0.005,+1.14%,$139.62 M,+2.30%
629,630,up,NET,Netlinkz Limited,$0.10,+0.013,+14.94%,$139.54 M,+194.12%
630,631,up,BTH,Bigtincan Holdings Limited,$0.55,+0.025,+4.76%,$138.78 M,+47.38%
631,632,up,NVL,National Veterinary,$2.06,+0.04,+1.98%,$138.02 M,-14.52%
632,633,down,EAI,Ellerston Asian,$0.94,-0.02,-2.08%,$137.48 M,-15.32%
633,634,down,MRM,Mmaoffshor,$0.16,-0.01,-5.88%,$137.29 M,-31.92%
634,635,down,ROBO,ETFs GLB ROBO ETF Units FP,$58.24,-0.45,-0.77%,$137.24 M,-1.29%
635,636,no change,WIC,Westoz INV Limited,$1.03,0.00,0.00%,$137.24 M,-9.25%
636,637,down,IGB,Ishares Treasury ETF Units FP,$109.80,-0.06,-0.06%,$137.00 M,+7.21%
637,638,up,RED,RED 5 Limited,$0.11,+0.005,+4.76%,$136.75 M,+59.42%
638,639,no change,HAS,Hastings Tech Met,$0.16,0.00,0.00%,$135.87 M,-42.86%
639,640,up,OEL,Otto Energy Limited,$0.055,+0.001,+1.85%,$135.33 M,-28.09%
640,641,up,RDY,Readytech Holdings,$1.69,+0.02,+1.20%,$135.21 M,-5.06%
641,642,no change,EWC,Energy World Corpor,$0.075,0.00,0.00%,$134.67 M,-61.54%
642,643,no change,AVG,Aust Vintage Limited,$0.475,0.00,0.00%,$133.34 M,-25.78%
643,644,down,FMS,Flinders Mines Limited,$0.038,-0.001,-2.56%,$132.44 M,-66.76%
644,645,up,TOP,Thorney Opp Limited,$0.65,+0.005,+0.78%,$132.35 M,-3.70%
645,646,no change,GOW,Gowing Bros. Limited,$2.45,0.00,0.00%,$132.15 M,-20.20%
646,647,up,PO3,Purifloh Limited,$4.20,+0.14,+3.45%,$131.81 M,+636.84%
647,648,down,SGH,Slater & Gordon,$1.895,-0.07,-3.56%,$131.75 M,-42.23%
648,649,down,EGN,Engenco Limited,$0.42,-0.01,-2.33%,$131.62 M,-15.15%
649,650,down,FSA,FSA Group Limited,$1.05,-0.01,-0.94%,$131.35 M,-26.06%
650,651,no change,ISU,Iselect Limited,$0.60,0.00,0.00%,$131.20 M,+12.15%
651,652,down,SFX,Sheffield Res Limited,$0.50,-0.01,-1.96%,$130.28 M,-39.02%
652,653,down,BBOZ,Beta Aust STR Bear Trading Managed Fund Units FP,$12.05,-0.06,-0.50%,$130.14 M,-16.32%
653,654,up,IHCB,Ishares GBL BND Aud ETF Units FP,$106.10,+0.35,+0.33%,$129.59 M,+2.90%
654,655,down,TLG,Talga Resources,$0.59,-0.015,-2.48%,$129.07 M,-21.33%
655,656,up,IFRA,Vaneck Infrastruct ETF Units FP,$20.59,+0.07,+0.34%,$128.72 M,+8.88%
656,657,no change,CD2,Cordish Dixon Pef Ii Ordinary Units FP,$2.32,0.00,0.00%,$128.04 M,+10.48%
657,658,down,TLX,TELIX Pharmaceutical,$0.84,-0.005,-0.59%,$126.82 M,+28.24%
658,659,up,MCP,Mcpherson's Limited,$1.185,+0.015,+1.28%,$126.00 M,-11.57%
659,660,no change,RUL,Rpmglobal Holdings Limited,$0.58,0.00,0.00%,$125.49 M,-10.77%
660,661,down,GLL,Galilee Energy Limited,$0.555,-0.03,-5.13%,$125.25 M,+258.07%
661,662,down,DWS,DWS Limited,$0.95,-0.025,-2.56%,$125.24 M,-27.48%
662,663,up,NMT,Neometals Limited,$0.23,+0.01,+4.55%,$125.11 M,-28.13%
663,664,no change,ARA,Ariadne Australia,$0.63,0.00,0.00%,$124.04 M,-8.70%
664,665,no change,COG,Consolidated Ops GP,$0.092,0.00,0.00%,$123.40 M,-7.07%
665,666,no change,SO4,Salt Lake Potash Limited,$0.595,0.00,0.00%,$122.73 M,+5.31%
666,667,up,PPG,Pro-Pac Packaging,$0.15,+0.005,+3.45%,$121.61 M,-64.29%
667,668,down,FBR,FBR Limited,$0.086,-0.001,-1.15%,$120.71 M,-54.74%
668,669,up,BSA,BSA Limited,$0.28,+0.005,+1.82%,$119.91 M,-13.85%
669,670,down,ESV,Eservglobal Limited,$0.099,-0.001,-1.00%,$119.87 M,-41.77%
670,671,no change,SXE,STH CRS Elect ENGNR,$0.51,0.00,0.00%,$119.37 M,-27.14%
671,672,no change,EMR,Emerald Res NL,$0.039,0.00,0.00%,$118.65 M,+11.43%
672,673,down,SHJ,Shine Corporate,$0.682,-0.003,-0.44%,$118.10 M,-31.80%
673,674,up,GSS,Genetic Signatures,$1.135,+0.09,+8.61%,$118.07 M,+278.33%
674,675,up,RARI,Russaustrespinvetf ETF Units FP,$25.33,+0.02,+0.08%,$117.71 M,+0.32%
675,676,no change,AB1,Animoca Brands Corp,$0.15,0.00,0.00%,$117.69 M,+206.12%
676,677,down,BUD,Buddy Tech,$0.065,-0.002,-2.99%,$117.11 M,-58.07%
677,678,up,EX20,BETAAUSEX20 ETF Units FP,$17.99,+0.04,+0.22%,$117.10 M,-0.22%
678,679,up,CYP,Cynata Therapeutics,$1.145,+0.005,+0.44%,$116.66 M,-16.12%
679,680,up,NWF,Newfield Resources,$0.20,+0.01,+5.26%,$116.26 M,+14.29%
680,681,no change,IVX,Invion Limited,$0.021,0.00,0.00%,$115.51 M,-36.16%
681,682,no change,QIN,Quintis Limited,$0.295,0.00,0.00%,$115.14 M,0.00%
682,683,no change,HIG,Highlands Pacific 40 Toea,$0.105,0.00,0.00%,$114.74 M,+20.69%
683,684,no change,CD3,Cordish Dixon Pefiii Ordinary Units FP,$1.59,0.00,0.00%,$114.53 M,0.00%
684,685,no change,1AL,Oneall International Limited,$0.88,0.00,0.00%,$114.41 M,-7.37%
685,686,up,RAP,Resapp Health Limited,$0.165,+0.005,+3.13%,$114.37 M,+13.79%
686,687,up,EGG,Enero Group Limited,$1.335,+0.015,+1.14%,$114.28 M,+33.50%
687,688,up,XF1,Xref Limited,$0.69,+0.04,+6.15%,$114.25 M,+32.69%
688,689,down,SEC,Spheria Emerging Co,$1.715,-0.025,-1.44%,$113.77 M,-11.37%
689,690,down,OVH,Onevue Holdings Limited,$0.43,-0.01,-2.27%,$113.67 M,-40.28%
690,691,down,AC8,Auscann Group HLGS Limited,$0.365,-0.005,-1.35%,$112.85 M,-76.30%
691,692,no change,KPT,Kangaroo Plantation,$2.00,0.00,0.00%,$112.15 M,-11.89%
692,693,no change,BTI,Bailador Tech INV,$0.93,0.00,0.00%,$111.83 M,+16.98%
693,694,no change,ALK,Alkane Resources Limited,$0.22,0.00,0.00%,$111.34 M,-29.03%
694,695,down,ERA,Energy Resources 'A',$0.215,-0.005,-2.27%,$111.31 M,-58.65%
695,696,down,MSV,Mitchell Services,$0.064,-0.001,-1.54%,$111.26 M,+77.78%
696,697,no change,RTE,Retech Technology Co. Limited Cdi 1:1,$0.48,0.00,0.00%,$110.76 M,-4.00%
697,698,down,FTC,Fintech Chain Limited Chess Depositary Interests 1:1,$0.17,-0.015,-8.11%,$110.63 M,+36.00%
698,699,no change,PLL,Piedmont Lithium Limited,$0.165,0.00,0.00%,$110.61 M,-5.71%
699,700,down,SOM,Somnomed Limited,$1.755,-0.045,-2.50%,$110.22 M,-40.10%
700,701,down,NEU,Neuren Pharmaceut,$1.10,-0.01,-0.90%,$110.19 M,-63.21%
701,702,no change,SLM,Salmat Limited,$0.55,0.00,0.00%,$109.82 M,-21.43%
702,703,down,VDGR,VNGD DIV Growth ETF Units FP,$53.45,-0.09,-0.17%,$108.65 M,+3.79%
703,704,down,LTR,Liontown Resources,$0.071,-0.009,-11.25%,$108.51 M,+138.55%
704,705,no change,PXS,Pharmaxis Limited,$0.275,0.00,0.00%,$108.44 M,-11.29%
705,706,down,SDI,SDI Limited,$0.905,-0.005,-0.55%,$107.57 M,+69.16%
706,707,down,LPD,Lepidico Limited,$0.032,-0.001,-3.03%,$107.40 M,-25.58%
707,708,no change,TGS,Tiger Resources,$0.049,0.00,0.00%,$107.19 M,0.00%
708,709,down,GRB,Gage Roads Brewing,$0.097,-0.002,-2.02%,$107.02 M,+15.48%
709,710,down,MOY,Millennium Min Limited,$0.12,-0.005,-4.00%,$106.94 M,-28.63%
710,711,up,STX,Strike Energy Limited,$0.078,+0.006,+8.33%,$106.40 M,-1.27%
711,712,no change,AXL,Axsesstoday Limited,$1.625,0.00,0.00%,$105.95 M,-26.80%
712,713,no change,BRU,Buru Energy,$0.245,0.00,0.00%,$105.86 M,-37.18%
713,714,down,MOC,Mortgage Choice Limited,$0.845,-0.01,-1.17%,$105.62 M,-56.22%
714,715,down,LAU,Lindsay Australia,$0.355,-0.005,-1.39%,$105.38 M,-7.79%
715,716,up,BLY,Boart Longyear,$0.004,+0.001,+33.33%,$105.19 M,-66.67%
716,717,down,NZM,NZME Limited Foreign Exempt NZX,$0.535,-0.01,-1.84%,$104.87 M,-31.85%
717,718,up,VAN,Vango Mining Limited,$0.175,+0.005,+2.94%,$104.47 M,+25.00%
718,719,no change,ATL,Apollo Tourism,$0.56,0.00,0.00%,$104.25 M,-63.87%
719,720,down,ISO,ETF Units FP,$5.05,-0.02,-0.39%,$104.18 M,-1.75%
720,721,up,MVE,Vaneck Midcap ETF Units FP,$27.70,+0.2,+0.73%,$103.45 M,-2.19%
721,722,down,IZZ,Ishs China ETF ETF Units FP,$59.83,-0.37,-0.62%,$103.31 M,-6.05%
722,723,up,EGI,Ellerston Global INV,$0.94,+0.01,+1.08%,$103.28 M,-12.15%
723,724,down,MPH,Mediland Pharm,$0.33,-0.03,-8.33%,$103.21 M,+57.14%
724,725,no change,WQG,WCM Global Growth,$1.14,0.00,0.00%,$103.02 M,+14.00%
725,726,down,MOAT,Vaneck US Wide MOAT ETF Cdis 1:1,$67.74,-0.48,-0.70%,$102.34 M,+20.26%
726,727,up,MYL,Myanmar Metals,$0.08,+0.001,+1.27%,$102.10 M,+37.93%
727,728,down,VDBA,VNGD DIV Balance ETF Units FP,$53.43,-0.16,-0.30%,$101.91 M,+4.77%
728,729,error,TNK,Think Childcare Limited,$1.685,0.00,0.00%,$101.90 M,-6.39%
729,730,up,MCM,MC Mining Limited,$0.72,+0.02,+2.86%,$101.43 M,+22.03%
730,731,down,NSC,Naos SMLCAP Com Limited,$0.60,-0.005,-0.83%,$101.11 M,-28.14%
731,732,no change,PVS,Pivotal Systems Chess Depositary Interests 1:1 US Prohibited,$1.43,0.00,0.00%,$100.86 M,-44.79%
732,733,up,MOGL,MOGL (Managed Fund) Trading Managed Units FP,$3.73,+0.03,+0.81%,$100.77 M,+3.04%
733,734,down,AEG,Absolute Equity Perf,$0.985,-0.005,-0.51%,$100.11 M,-7.94%
734,735,down,CMP,Compumedics Limited,$0.565,-0.01,-1.74%,$100.10 M,+48.68%
735,736,no change,G1A,Galena Mining,$0.385,0.00,0.00% ,$99.72 M,+148.39%
736,737,down,BID,Bidenergy Limited,$0.905,-0.03,-3.21%,$99.65 M,+195.75%
737,738,up,PPK,PPK Group Limited,$1.22,+0.02,+1.67%,$99.29 M,+360.38%
738,739,down,PBP,Probiotec Limited,$1.65,-0.05,-2.94%,$99.06 M,+52.78%
739,740,no change,ANG,Austin Engineering,$0.17,0.00,0.00%,$98.40 M,-33.33%
740,741,no change,VIA,Viagold Capital 1c,$2.35,0.00,0.00%,$97.89 M,0.00%
741,742,up,POS,Poseidon Nick Limited,$0.037,+0.002,+5.71%,$97.78 M,0.00%
742,743,up,TPE,Tpi Enterprises,$1.205,+0.015,+1.26%,$97.71 M,-20.98%
743,744,down,BBX,BBX Minerals Limited,$0.24,-0.025,-9.43%,$97.03 M,+26.32%
744,745,down,MCR,Mincor Resources NL,$0.44,-0.005,-1.12%,$96.93 M,+2.33%
745,746,down,TNG,TNG Limited,$0.10,-0.005,-4.76%,$96.35 M,-31.03%
746,747,down,CTP,Central Petroleum,$0.135,-0.005,-3.57%,$96.25 M,-20.59%
747,748,no change,RVR,Red River Resources,$0.195,0.00,0.00%,$95.54 M,-27.78%
748,749,down,GDX,Vaneck Gold Miners ETF Cdis 1:1,$29.30,-0.16,-0.54%,$94.94 M,-3.56%
749,750,up,ZYAU,ETFs ASX300 Yield ETF Units FP,$10.99,+0.02,+0.18%,$94.85 M,-3.51%
750,751,down,IMM,Immutep Limited,$0.028,-0.002,-6.67%,$94.74 M,+16.67%
751,752,no change,NZC,NZURI Copper Limited,$0.32,0.00,0.00%,$94.69 M,+12.28%
752,753,down,CGR,CML Group Limited,$0.47,-0.005,-1.05%,$94.65 M,-16.07%
753,754,down,MHG,Magellan GBL EQ Fund Trading Managed Fund Units FP,$3.31,-0.01,-0.30%,$94.44 M,+7.12%
754,755,down,AVZ,AVZ Minerals Limited,$0.041,-0.001,-2.38%,$93.61 M,-77.84%
755,756,down,TWD,Tamawood Limited,$3.39,-0.1,-2.87%,$93.61 M,-20.24%
756,757,up,PRT,Prime Media Group Limited,$0.255,+0.005,+2.00%,$93.41 M,-17.74%
757,758,up,BWR,Blackwall Prop Trust Ordinary Units FP,$1.40,+0.03,+2.19%,$93.29 M,+1.45%
758,759,down,SMN,Structural Monitor Chess Depositary Interests 1:1,$0.805,-0.015,-1.83%,$92.91 M,-22.60%
759,760,up,APZ,Aspen Group FP Ordinary/Units Stapled Securities,$0.975,+0.005,+0.52%,$92.90 M,+4.28%
760,761,no change,CDU,Cudeco Limited,$0.235,0.00,0.00%,$92.66 M,0.00%
761,762,down,EHH,Eagle HLTH Holdings Limited,$0.285,-0.01,-3.39%,$92.17 M,+5.56%
762,763,down,AMN,Agrimin Limited,$0.535,-0.03,-5.31%,$91.28 M,-41.85%
763,764,down,MOD,MOD Resources Limited,$0.30,-0.01,-3.23%,$91.12 M,-25.77%
764,765,down,GGG,Greenland Minerals,$0.08,-0.003,-3.61%,$90.61 M,-9.09%
765,766,down,WXHG,SPDR World Ex OZ HDG ETF Units FP,$22.70,-0.14,-0.61%,$90.45 M,+0.04%
766,767,down,ADT,Adriatic Metals Chess Depositary Interests 1:1,$0.875,-0.005,-0.57%,$89.98 M,+360.53%
767,768,up,TIG,Tigers Realm Coal,$0.05,+0.004,+8.70%,$89.58 M,0.00%
768,769,down,CCV,Cash Converters,$0.145,-0.005,-3.33%,$89.38 M,-60.98%
769,770,down,MDC,Medlab Clinical Limited,$0.42,-0.005,-1.18%,$88.63 M,-32.26%
770,771,down,ICQ,Icar Asia Limited,$0.23,-0.005,-2.13%,$88.41 M,-4.17%
771,772,down,UMAX,Beta S&P500 Yieldmax ETF Units FP,$19.50,-0.09,-0.46%,$88.15 M,+4.17%
772,773,down,VCF,VD Int CRD Sec ETF ETF Units FP,$48.31,-0.01,-0.02%,$88.14 M,+2.70%
773,774,no change,MAI,Mainstream Group,$0.68,0.00,0.00%,$87.71 M,+1.49%
774,775,no change,EGS,Eastern Goldfields,$0.115,0.00,0.00%,$87.61 M,-23.33%
775,776,down,TECH,Etfsglobaltech ETF Units FP,$77.11,-0.3,-0.39%,$87.28 M,+11.46%
776,777,no change,AFA,Asf Group Limited,$0.11,0.00,0.00%,$87.22 M,-8.33%
777,778,no change,ANS,Austsino Res Group Limited,$0.017,0.00,0.00%,$86.96 M,-5.56%
778,779,up,ELX,ELLEX Medical Lasers,$0.60,+0.01,+1.70%,$86.16 M,-17.81%
779,780,up,UWL,Uniti Wireless,$0.855,+0.035,+4.27%,$85.96 M,+297.67%
780,781,up,GEAR,Betshares GEAR Fund ETF Units FP,$23.68,+0.19,+0.81%,$85.96 M,-0.55%
781,782,no change,BBUS,Beta US Strong Bear Trading Managed Fund Units FP,$4.09,0.00,0.00%,$85.58 M,-20.74%
782,783,up,IPD,Impedimed Limited,$0.225,+0.01,+4.65%,$85.45 M,-60.87%
783,784,up,PEX,Peel Mining Limited,$0.385,+0.005,+1.32%,$84.74 M,-35.11%
784,785,down,NNW,99 Wuxian Limited Chess Depositary Interests 1:1,$0.073,-0.001,-1.35%,$84.66 M,-55.76%
785,786,down,SEN,Senetas Corporation,$0.078,-0.002,-2.50%,$84.34 M,-25.71%
786,787,no change,BDC,Bardoc Gold Limited,$0.07,0.00,0.00%,$84.09 M,-32.65%
787,788,up,VLC,VNGD Aus Large ETF Units FP,$64.55,+0.2,+0.31%,$83.66 M,+3.76%
788,789,no change,CAY,Canyon Resources Limited,$0.20,0.00,0.00%,$83.66 M,+73.91%
789,790,down,TOT,360 Capital Total Re FP Units Stapled Securities,$1.19,-0.005,-0.42%,$83.57 M,-0.83%
790,791,up,CYC,Cyclopharm Limited,$1.215,+0.065,+5.65%,$83.47 M,+15.17%
791,792,no change,CIE,Contango Inc Gen Limited,$0.80,0.00,0.00%,$83.38 M,-17.10%
792,793,down,MYE,Mastermyne Group Limited,$0.82,-0.03,-3.53%,$83.37 M,-11.35%
793,794,up,FGR,First Graphene Limited,$0.19,+0.005,+2.70%,$83.16 M,+11.77%
794,795,no change,GAP,Gale Pacific Limited,$0.29,0.00,0.00%,$82.66 M,-23.68%
795,796,no change,VTI,Visioneering Technologies Inc Cdi Forus,$0.45,0.00,0.00%,$82.62 M,+7.14%
796,797,up,CMM,Capricorn Metals,$0.088,+0.003,+3.53%,$82.41 M,+20.33%
797,798,no change,88E,88 Energy Limited,$0.013,0.00,0.00%,$82.31 M,-66.45%
798,799,no change,MRC,Mineral Commodities,$0.195,0.00,0.00%,$82.11 M,-2.50%
799,800,no change,ISEC,Ishares Enhancd Cash ETF Units FP,$100.42,0.00,0.00%,$81.85 M,+0.15%
800,801,up,GEV,Global Ene Ven Limited,$0.225,+0.015,+7.14%,$81.02 M,-29.69%
801,802,up,ATC,Altech Chem Limited,$0.115,+0.005,+4.55%,$80.92 M,-28.13%
802,803,no change,CAM,Clime Capital,$0.88,0.00,0.00%,$80.78 M,+5.50%
803,804,up,BOT,Botanix Pharma Limited,$0.105,+0.005,+5.00%,$80.34 M,-22.22%
804,805,up,EAR,Echo Resources,$0.145,+0.003,+2.11%,$79.89 M,-40.46%
805,806,no change,DGR,DGR Global Limited,$0.13,0.00,0.00%,$79.71 M,+44.44%
806,807,no change,RDF,Redflex Holdings,$0.53,0.00,0.00%,$79.62 M,+15.22%
807,808,down,CSS,Clean Seas Limited,$0.95,-0.02,-2.06%,$79.32 M,-15.18%
808,809,no change,KGL,KGL Resources Limited,$0.28,0.00,0.00%,$78.95 M,-25.33%
809,810,up,BKY,Berkeley Energia Limited,$0.305,+0.005,+1.67%,$78.82 M,-64.12%
